@RELATION german-credit

@ATTRIBUTE feature_01 {A, B, C, D}
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 {A, B, C, D, E}
@ATTRIBUTE feature_04 {A, B, C, D, E, F, G, H, I, J}
@ATTRIBUTE feature_05 REAL
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 REAL
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C}
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 {A, B, C, D}
@ATTRIBUTE feature_13 REAL
@ATTRIBUTE feature_14 {A, B, C}
@ATTRIBUTE feature_15 {A, B, C}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 {A, B}
@ATTRIBUTE feature_20 {A, B}
@ATTRIBUTE class {A, B}

@DATA
B,24.0,D,J,2924.0,C,A,3.0,D,B,4.0,C,63.0,A,B,1.0,B,2.0,B,B,B
B,24.0,C,G,1659.0,C,C,4.0,A,C,2.0,A,29.0,B,C,1.0,D,1.0,B,B,A
D,48.0,C,G,7238.0,E,D,3.0,D,C,3.0,A,32.0,A,B,2.0,B,2.0,A,B,B
D,33.0,C,A,2764.0,C,A,2.0,A,C,2.0,A,26.0,B,B,2.0,B,1.0,B,B,B
D,24.0,C,J,4679.0,C,B,3.0,D,C,3.0,A,35.0,B,B,2.0,D,1.0,B,B,B
A,24.0,D,G,3092.0,A,C,3.0,C,C,2.0,A,22.0,B,C,1.0,B,1.0,B,B,A
B,6.0,D,C,448.0,C,C,4.0,A,C,4.0,B,23.0,B,B,1.0,B,1.0,A,B,A
B,9.0,D,E,654.0,C,A,4.0,D,C,3.0,A,28.0,B,B,1.0,D,1.0,A,B,A
D,6.0,D,I,1238.0,E,E,4.0,D,C,4.0,B,36.0,B,B,1.0,A,2.0,B,B,B
A,18.0,B,G,1245.0,C,A,4.0,C,C,2.0,A,33.0,B,B,1.0,B,1.0,A,B,A
B,18.0,E,D,3114.0,C,C,1.0,A,C,4.0,B,26.0,B,C,1.0,B,1.0,A,B,A
D,39.0,D,J,2569.0,B,A,4.0,D,C,4.0,A,24.0,B,B,1.0,B,1.0,A,B,B
C,24.0,D,G,5152.0,C,B,4.0,D,C,2.0,A,25.0,A,B,1.0,B,1.0,A,B,B
A,12.0,D,A,1037.0,A,B,3.0,D,C,4.0,D,39.0,B,B,1.0,D,1.0,A,B,B
B,15.0,B,D,1478.0,C,D,4.0,D,C,4.0,A,44.0,B,B,2.0,B,2.0,B,B,B
A,12.0,B,G,3573.0,C,A,1.0,A,C,1.0,D,23.0,B,B,1.0,D,1.0,A,B,B
A,24.0,D,E,1201.0,C,C,4.0,D,C,1.0,B,26.0,B,B,1.0,B,1.0,A,B,B
B,30.0,D,D,3622.0,D,D,4.0,A,C,4.0,B,57.0,B,C,2.0,B,1.0,B,B,B
D,15.0,C,D,960.0,D,B,3.0,A,C,2.0,B,30.0,B,B,2.0,B,1.0,A,B,B
D,12.0,B,E,1163.0,B,A,4.0,D,C,4.0,D,44.0,B,B,1.0,B,1.0,B,B,B
A,6.0,C,E,1209.0,C,E,4.0,D,C,4.0,B,47.0,B,B,1.0,A,1.0,B,B,A
D,12.0,D,G,3077.0,C,A,2.0,D,C,4.0,A,52.0,B,B,1.0,B,1.0,B,B,B
D,24.0,D,E,3757.0,C,D,4.0,A,A,4.0,C,62.0,B,A,1.0,B,1.0,B,B,B
D,10.0,D,E,1418.0,A,A,3.0,D,C,2.0,D,35.0,B,C,1.0,D,1.0,A,A,B
D,6.0,D,E,3518.0,C,A,2.0,D,B,3.0,B,26.0,B,C,1.0,B,1.0,A,B,B
D,12.0,B,G,1934.0,C,D,2.0,D,C,2.0,C,26.0,B,B,2.0,B,1.0,A,B,B
A,27.0,E,A,8318.0,C,D,2.0,A,C,4.0,C,42.0,B,A,2.0,A,1.0,B,B,A
D,6.0,B,G,1237.0,A,A,1.0,A,C,1.0,B,27.0,B,B,2.0,B,1.0,A,B,B
A,6.0,D,G,368.0,E,D,4.0,D,C,4.0,B,38.0,B,B,1.0,B,1.0,A,B,B
B,12.0,B,E,2122.0,C,A,3.0,D,C,2.0,D,39.0,B,C,2.0,D,2.0,A,A,B
B,24.0,D,D,2996.0,E,A,2.0,C,C,4.0,A,20.0,B,B,1.0,B,1.0,A,B,A
A,36.0,D,D,9034.0,A,C,4.0,D,A,1.0,C,29.0,B,C,1.0,A,1.0,B,B,A
D,24.0,B,D,1585.0,C,B,4.0,D,C,3.0,B,40.0,B,B,2.0,B,1.0,A,B,B
A,18.0,D,G,1301.0,C,D,4.0,C,B,2.0,D,32.0,B,B,1.0,D,1.0,A,B,B
C,6.0,B,E,1323.0,A,D,2.0,B,C,4.0,A,28.0,B,B,2.0,B,2.0,B,B,B
B,24.0,D,E,3123.0,C,C,4.0,A,C,1.0,B,27.0,B,B,1.0,B,1.0,A,B,A
B,36.0,D,J,5493.0,C,D,2.0,D,C,4.0,C,42.0,B,A,1.0,B,2.0,A,B,B
C,9.0,D,G,1126.0,A,D,2.0,B,C,4.0,D,49.0,B,B,1.0,B,1.0,A,B,B
A,24.0,B,G,1216.0,A,C,4.0,D,C,4.0,C,38.0,A,B,2.0,B,2.0,A,B,A
B,24.0,D,E,1207.0,C,C,4.0,A,C,4.0,B,24.0,B,C,1.0,B,1.0,A,B,A
D,10.0,D,E,1309.0,E,A,4.0,D,B,4.0,B,27.0,B,B,1.0,D,1.0,A,B,A
C,15.0,B,J,2360.0,B,A,2.0,D,C,2.0,A,36.0,B,B,1.0,B,1.0,B,B,B
A,15.0,A,E,6850.0,A,E,1.0,D,C,2.0,B,34.0,B,B,1.0,A,2.0,B,B,A
D,24.0,D,G,1413.0,C,A,4.0,C,C,2.0,B,28.0,B,B,1.0,B,1.0,A,B,B
D,39.0,D,J,8588.0,A,D,4.0,D,C,2.0,A,45.0,B,B,1.0,A,1.0,B,B,B
B,12.0,D,E,759.0,C,B,4.0,D,C,2.0,D,26.0,B,B,1.0,B,1.0,A,B,A
D,36.0,D,J,4686.0,C,A,2.0,D,C,2.0,C,32.0,B,A,1.0,A,1.0,B,B,B
C,15.0,D,A,2687.0,C,B,2.0,D,C,4.0,B,26.0,B,C,1.0,B,1.0,B,B,B
A,12.0,C,G,585.0,C,A,4.0,C,A,4.0,D,20.0,B,C,2.0,B,1.0,A,B,B
D,24.0,D,E,2255.0,E,C,4.0,D,C,1.0,B,54.0,B,B,1.0,B,1.0,A,B,B
B,6.0,B,E,609.0,C,B,4.0,A,C,3.0,B,37.0,B,B,2.0,B,1.0,A,A,B
B,6.0,B,E,1361.0,C,C,2.0,D,C,4.0,D,40.0,B,B,1.0,D,2.0,A,A,B
D,36.0,B,D,7127.0,C,C,2.0,A,C,4.0,B,23.0,B,C,2.0,B,1.0,B,B,A
B,6.0,D,E,1203.0,A,D,3.0,D,C,2.0,B,43.0,B,B,1.0,B,1.0,B,B,B
D,6.0,B,G,700.0,E,D,4.0,D,C,4.0,C,36.0,B,A,2.0,B,1.0,A,B,B
D,24.0,B,H,5507.0,C,D,3.0,D,C,4.0,C,44.0,B,A,2.0,B,1.0,A,B,B
B,18.0,D,G,3190.0,C,A,2.0,A,C,2.0,D,24.0,B,B,1.0,B,1.0,A,B,A
B,48.0,E,D,7119.0,C,A,3.0,D,C,4.0,C,53.0,B,A,2.0,B,2.0,A,B,A
D,24.0,D,J,3488.0,A,B,3.0,A,C,4.0,A,23.0,B,B,1.0,B,1.0,A,B,B
A,18.0,D,G,1113.0,C,A,4.0,A,B,4.0,D,26.0,B,B,1.0,D,2.0,A,B,B
A,26.0,D,J,7966.0,C,C,2.0,D,C,3.0,A,30.0,B,B,2.0,B,1.0,A,B,B
D,15.0,B,C,1532.0,A,A,4.0,A,C,3.0,A,31.0,B,B,1.0,B,1.0,A,B,B
D,4.0,B,G,1503.0,C,B,2.0,D,C,1.0,D,42.0,B,B,2.0,D,2.0,A,B,B
B,36.0,D,G,2302.0,C,A,4.0,B,C,4.0,A,31.0,B,C,1.0,B,1.0,A,B,A
B,6.0,D,E,662.0,C,C,3.0,D,C,4.0,D,41.0,B,B,1.0,D,2.0,B,B,B
A,36.0,D,C,2273.0,C,B,3.0,D,C,1.0,A,32.0,B,B,2.0,B,2.0,A,B,B
A,15.0,D,E,2631.0,A,A,2.0,A,C,4.0,A,28.0,B,C,2.0,B,1.0,B,B,A
D,12.0,C,J,1503.0,C,A,4.0,C,C,4.0,D,41.0,B,C,1.0,B,1.0,A,B,B
D,24.0,D,G,1311.0,A,B,4.0,C,C,3.0,B,26.0,B,B,1.0,B,1.0,B,B,B
D,24.0,D,G,3105.0,E,C,4.0,D,C,2.0,A,25.0,B,B,2.0,B,1.0,A,B,B
C,21.0,B,C,2319.0,C,C,2.0,B,C,1.0,A,33.0,B,C,1.0,B,1.0,A,B,A
B,6.0,D,E,1374.0,E,E,4.0,A,C,3.0,B,75.0,B,B,1.0,A,1.0,B,B,B
A,18.0,B,D,3612.0,C,D,3.0,A,C,4.0,B,37.0,B,B,1.0,B,1.0,B,B,B
B,48.0,D,E,7763.0,C,D,4.0,D,C,4.0,C,42.0,A,A,1.0,A,1.0,A,B,A
C,18.0,D,D,3049.0,C,C,1.0,A,C,1.0,B,45.0,C,B,1.0,D,1.0,A,B,B
A,12.0,D,G,1534.0,C,C,1.0,C,C,1.0,D,23.0,B,C,1.0,B,1.0,A,B,A
D,24.0,C,E,2032.0,C,D,4.0,D,C,4.0,C,60.0,B,A,2.0,B,1.0,B,B,B
B,30.0,D,D,6350.0,E,D,4.0,D,C,4.0,B,31.0,B,B,1.0,B,1.0,A,B,A
C,18.0,D,D,2864.0,C,A,2.0,D,C,1.0,D,34.0,B,B,1.0,D,2.0,A,B,A
D,12.0,B,E,1255.0,C,D,4.0,D,C,4.0,D,61.0,B,B,2.0,D,1.0,A,B,B
B,24.0,C,E,1333.0,C,E,4.0,D,C,2.0,D,43.0,B,A,2.0,B,2.0,A,B,A
D,24.0,B,E,2022.0,C,A,4.0,A,C,4.0,A,37.0,B,B,1.0,B,1.0,B,B,B
D,24.0,D,G,1552.0,C,B,3.0,D,C,1.0,A,32.0,A,B,1.0,B,2.0,A,B,B
B,12.0,A,G,626.0,C,A,4.0,A,C,4.0,D,24.0,A,B,1.0,D,1.0,A,B,A
D,48.0,B,J,8858.0,E,B,2.0,D,C,1.0,C,35.0,B,A,2.0,B,1.0,B,B,B
D,12.0,B,H,996.0,E,B,4.0,A,C,4.0,D,23.0,B,B,2.0,B,1.0,A,B,B
D,6.0,A,G,1750.0,B,D,2.0,D,C,4.0,B,45.0,A,B,1.0,D,2.0,A,B,B
B,48.0,D,G,6999.0,C,B,1.0,C,B,1.0,D,34.0,B,B,2.0,B,1.0,B,B,A
A,12.0,B,E,1995.0,A,C,4.0,D,C,1.0,A,27.0,B,B,1.0,B,1.0,A,B,B
A,9.0,D,C,1199.0,C,B,4.0,A,C,4.0,B,67.0,B,B,2.0,A,1.0,B,B,B
A,12.0,D,G,1331.0,C,C,2.0,D,C,1.0,A,22.0,C,B,1.0,B,1.0,A,B,A
A,18.0,E,E,2278.0,A,C,3.0,A,C,3.0,A,28.0,B,B,2.0,B,1.0,A,B,A
D,21.0,E,E,5003.0,E,A,1.0,A,C,4.0,B,29.0,A,B,2.0,B,1.0,B,B,A
B,24.0,A,D,3552.0,C,B,3.0,D,C,4.0,A,27.0,A,B,1.0,B,1.0,A,B,A
A,18.0,B,D,1928.0,C,C,2.0,D,C,2.0,D,31.0,B,B,2.0,D,1.0,A,B,A
B,24.0,D,J,2964.0,E,D,4.0,D,C,4.0,C,49.0,A,A,1.0,B,2.0,B,B,B
B,24.0,A,G,1546.0,C,B,4.0,D,B,4.0,A,24.0,A,C,1.0,D,1.0,A,B,A
C,6.0,C,G,683.0,C,C,2.0,A,C,1.0,B,29.0,A,B,1.0,B,1.0,A,B,B
A,36.0,D,E,12389.0,E,A,1.0,D,C,4.0,C,37.0,B,A,1.0,B,1.0,B,B,A
A,24.0,C,A,4712.0,E,A,4.0,D,C,2.0,B,37.0,A,B,2.0,A,1.0,B,B,B
A,24.0,C,G,1553.0,A,B,3.0,A,C,2.0,B,23.0,B,C,2.0,B,1.0,B,B,B
B,12.0,D,E,1372.0,C,B,2.0,B,C,3.0,A,36.0,B,B,1.0,B,1.0,A,B,A
D,24.0,B,G,2578.0,D,D,2.0,D,C,2.0,A,34.0,B,B,1.0,B,1.0,A,B,B
A,48.0,D,G,3979.0,E,B,4.0,D,C,1.0,A,41.0,B,B,2.0,B,2.0,B,B,B
B,48.0,D,G,6758.0,C,A,3.0,A,C,2.0,A,31.0,B,B,1.0,B,1.0,B,B,A
B,24.0,D,D,3234.0,C,C,4.0,A,C,4.0,D,23.0,B,C,1.0,D,1.0,B,B,A
D,30.0,B,G,5954.0,C,B,3.0,D,A,2.0,A,38.0,B,B,1.0,B,1.0,A,B,B
D,24.0,D,J,5433.0,E,E,2.0,A,C,4.0,B,26.0,B,C,1.0,A,1.0,B,B,B
B,15.0,D,A,806.0,C,A,4.0,A,C,4.0,B,22.0,B,B,1.0,D,1.0,A,B,B
A,9.0,D,G,1082.0,C,D,4.0,D,C,4.0,A,27.0,B,B,2.0,D,1.0,A,B,B
D,15.0,B,D,2788.0,C,B,2.0,A,A,3.0,A,24.0,A,B,2.0,B,1.0,A,B,B
A,12.0,D,G,2930.0,C,B,2.0,A,C,1.0,D,27.0,B,B,1.0,B,1.0,A,B,B
D,24.0,B,C,1927.0,E,A,3.0,A,C,2.0,A,33.0,B,B,2.0,B,1.0,B,B,B
A,36.0,B,E,2820.0,C,C,4.0,B,C,4.0,A,27.0,B,B,2.0,B,1.0,A,B,A
D,24.0,D,I,937.0,C,C,4.0,C,C,3.0,A,27.0,B,B,2.0,D,1.0,A,B,B
A,18.0,B,E,1056.0,C,D,3.0,D,B,3.0,D,30.0,A,B,2.0,B,1.0,A,B,A
A,12.0,B,E,3124.0,C,C,1.0,D,C,3.0,D,49.0,A,B,2.0,D,2.0,A,B,B
D,9.0,D,D,1388.0,C,A,4.0,A,C,2.0,D,26.0,B,C,1.0,B,1.0,A,B,B
A,36.0,D,H,2384.0,C,C,4.0,D,C,1.0,C,33.0,B,C,1.0,D,1.0,A,B,A
D,12.0,D,E,2133.0,E,D,4.0,A,C,4.0,C,52.0,B,A,1.0,A,1.0,B,B,B
B,18.0,D,D,2039.0,C,A,1.0,A,C,4.0,D,20.0,A,C,1.0,B,1.0,A,B,A
B,9.0,B,E,2799.0,C,A,2.0,D,C,2.0,D,36.0,B,C,2.0,B,2.0,A,B,B
B,12.0,D,D,1289.0,C,A,4.0,D,B,1.0,B,21.0,B,B,1.0,D,1.0,A,B,B
B,18.0,D,B,1217.0,C,A,4.0,C,C,3.0,D,47.0,B,B,1.0,D,1.0,B,B,A
B,12.0,B,D,2246.0,C,D,3.0,D,C,3.0,B,60.0,B,B,2.0,B,1.0,A,B,A
B,12.0,B,G,385.0,C,B,4.0,A,C,3.0,D,58.0,B,B,4.0,D,1.0,B,B,B
A,24.0,C,E,1965.0,E,A,4.0,A,C,4.0,A,42.0,B,C,2.0,B,1.0,B,B,B
D,21.0,D,A,1572.0,D,D,4.0,A,C,4.0,D,36.0,A,B,1.0,D,1.0,A,B,B
A,24.0,D,E,2718.0,C,A,3.0,A,C,4.0,B,20.0,B,C,1.0,D,1.0,B,B,A
B,24.0,A,F,1358.0,E,D,4.0,D,C,3.0,A,40.0,C,B,1.0,A,1.0,B,B,A
A,6.0,A,E,931.0,A,C,1.0,A,C,1.0,B,32.0,C,B,1.0,D,1.0,A,B,A
B,24.0,D,E,1442.0,C,B,4.0,A,C,4.0,A,23.0,B,C,2.0,B,1.0,A,B,A
A,24.0,E,A,4241.0,C,A,1.0,D,C,4.0,D,36.0,B,B,3.0,D,1.0,B,B,A
D,18.0,B,E,2775.0,C,B,2.0,D,C,2.0,B,31.0,A,B,2.0,B,1.0,A,B,A
D,24.0,C,A,3863.0,C,A,1.0,D,C,2.0,C,32.0,B,A,1.0,B,1.0,A,B,B
A,7.0,D,G,2329.0,C,C,1.0,A,B,1.0,D,45.0,B,B,1.0,B,1.0,A,B,B
A,9.0,D,D,918.0,C,A,4.0,A,C,1.0,B,30.0,B,B,1.0,B,1.0,A,B,A
A,24.0,A,C,1837.0,C,B,4.0,A,C,4.0,C,34.0,A,A,1.0,D,1.0,A,B,A
D,36.0,D,D,3349.0,C,A,4.0,A,C,2.0,A,28.0,B,B,1.0,A,1.0,B,B,A
C,10.0,D,D,1275.0,C,C,4.0,A,C,2.0,B,23.0,B,B,1.0,B,1.0,A,B,B
B,24.0,A,D,2828.0,B,A,4.0,D,C,4.0,D,22.0,C,B,1.0,B,1.0,B,B,B
D,24.0,B,A,4526.0,C,A,3.0,D,C,2.0,D,74.0,B,B,1.0,A,1.0,B,B,B
A,36.0,D,G,2671.0,A,A,4.0,A,A,4.0,C,50.0,B,A,1.0,B,1.0,A,B,A
D,18.0,D,G,2051.0,C,C,4.0,D,C,1.0,D,33.0,B,B,1.0,B,1.0,A,B,B
D,15.0,D,J,1300.0,E,D,4.0,D,C,4.0,C,45.0,A,A,1.0,B,2.0,A,B,B
B,12.0,D,B,741.0,A,E,4.0,A,C,3.0,B,22.0,B,B,1.0,B,1.0,A,B,A
C,10.0,D,E,1240.0,A,D,1.0,A,C,4.0,C,48.0,B,A,1.0,D,2.0,A,B,A
B,21.0,D,G,3357.0,D,C,4.0,A,C,2.0,A,29.0,A,B,1.0,B,1.0,A,B,B
B,24.0,A,J,3632.0,C,A,1.0,A,B,4.0,A,22.0,A,C,1.0,B,1.0,A,A,B
D,18.0,C,D,1808.0,C,B,4.0,A,C,1.0,D,22.0,B,B,1.0,B,1.0,A,B,A
A,48.0,E,A,12204.0,E,A,2.0,D,C,2.0,A,48.0,A,B,1.0,A,1.0,B,B,B
A,60.0,C,G,9157.0,E,A,2.0,D,C,2.0,C,27.0,B,A,1.0,A,1.0,A,B,B
B,6.0,B,E,3676.0,C,A,1.0,D,C,3.0,D,37.0,B,C,3.0,B,2.0,A,B,B
A,30.0,D,D,3441.0,A,A,2.0,A,A,4.0,A,21.0,B,C,1.0,B,1.0,A,B,A
D,12.0,D,E,640.0,C,A,4.0,B,C,2.0,D,49.0,B,B,1.0,D,1.0,A,B,B
A,21.0,B,A,3652.0,C,B,2.0,D,C,3.0,B,27.0,B,B,2.0,B,1.0,A,B,B
D,18.0,B,E,1530.0,C,A,3.0,D,C,2.0,B,32.0,A,B,2.0,B,1.0,A,B,A
D,48.0,D,A,3914.0,E,A,4.0,B,C,2.0,D,38.0,A,B,1.0,B,1.0,A,B,A
B,12.0,D,D,1858.0,C,C,4.0,A,C,1.0,A,22.0,B,C,1.0,B,1.0,A,B,B
B,18.0,D,G,2600.0,C,A,4.0,D,C,4.0,C,65.0,B,A,2.0,B,1.0,A,B,A
D,15.0,D,G,1979.0,E,D,4.0,D,C,2.0,A,35.0,B,B,1.0,B,1.0,A,B,B
C,6.0,D,D,2116.0,C,A,2.0,D,C,2.0,D,41.0,B,B,1.0,B,1.0,B,B,B
A,9.0,A,E,1437.0,A,B,2.0,D,C,3.0,C,29.0,B,B,1.0,B,1.0,A,B,A
D,42.0,B,D,4042.0,B,A,4.0,D,C,4.0,D,36.0,B,B,2.0,B,1.0,B,B,B
D,9.0,D,C,3832.0,E,D,1.0,D,C,4.0,D,64.0,B,B,1.0,D,1.0,A,B,B
B,24.0,D,G,3660.0,C,A,2.0,A,C,4.0,A,28.0,B,B,1.0,B,1.0,A,B,B
B,18.0,A,D,1553.0,C,A,4.0,D,C,3.0,A,44.0,A,B,1.0,B,1.0,A,B,A
A,15.0,D,G,1444.0,E,C,4.0,D,C,1.0,B,23.0,B,B,1.0,B,1.0,A,B,B
D,9.0,D,D,1980.0,C,C,2.0,A,A,2.0,A,19.0,B,C,2.0,B,1.0,A,B,A
A,24.0,D,E,1355.0,C,C,3.0,A,C,4.0,A,25.0,B,B,1.0,D,1.0,B,B,A
D,12.0,D,C,1393.0,C,D,4.0,D,C,4.0,B,47.0,A,B,3.0,B,2.0,B,B,B
D,24.0,D,G,1376.0,B,B,4.0,A,C,1.0,A,28.0,B,B,1.0,B,1.0,A,B,B
D,60.0,C,G,15653.0,C,B,2.0,D,C,4.0,A,21.0,B,B,2.0,B,1.0,B,B,B
D,12.0,D,G,1493.0,C,C,4.0,A,C,3.0,A,34.0,B,B,1.0,B,2.0,A,B,B
B,42.0,C,G,4370.0,C,B,3.0,D,C,2.0,B,26.0,A,B,2.0,B,2.0,B,B,A
B,18.0,D,C,750.0,C,E,4.0,A,C,1.0,D,27.0,B,B,1.0,C,1.0,A,B,A
A,15.0,D,H,1308.0,C,D,4.0,D,C,4.0,A,38.0,B,B,2.0,D,1.0,A,B,B
D,15.0,D,C,4623.0,A,A,3.0,D,C,2.0,B,40.0,B,B,1.0,A,1.0,B,B,A
D,24.0,B,G,1851.0,C,B,4.0,C,B,2.0,A,33.0,B,B,2.0,B,1.0,B,B,B
B,18.0,B,G,1880.0,C,B,4.0,C,C,1.0,B,32.0,B,B,2.0,A,1.0,B,B,B
D,36.0,C,A,7980.0,E,C,4.0,D,C,4.0,A,27.0,B,C,2.0,B,1.0,B,B,A
B,30.0,E,D,4583.0,C,A,2.0,B,B,2.0,D,32.0,B,B,2.0,B,1.0,A,B,B
D,12.0,D,E,1386.0,B,A,2.0,A,C,2.0,B,26.0,B,B,1.0,B,1.0,A,B,A
C,24.0,D,E,947.0,C,B,4.0,D,C,3.0,C,38.0,A,A,1.0,B,2.0,A,B,A
B,12.0,D,C,684.0,C,A,4.0,D,C,4.0,A,40.0,B,C,1.0,D,2.0,A,B,A
B,48.0,D,C,7476.0,C,B,4.0,D,C,1.0,C,50.0,B,A,1.0,A,1.0,B,B,B
A,12.0,D,D,1922.0,C,A,4.0,D,C,2.0,B,37.0,B,B,1.0,D,1.0,A,B,A
B,24.0,D,E,2303.0,C,D,4.0,D,A,1.0,D,45.0,B,B,1.0,B,1.0,A,B,A
A,36.0,C,E,8086.0,A,D,2.0,D,C,4.0,A,42.0,B,B,4.0,A,1.0,B,B,A
D,24.0,B,J,2346.0,C,B,4.0,D,C,3.0,A,35.0,B,B,2.0,B,1.0,B,B,B
B,14.0,D,E,3973.0,C,E,1.0,D,C,4.0,C,22.0,B,A,1.0,B,1.0,A,B,B
A,12.0,D,E,888.0,C,D,4.0,D,C,4.0,A,41.0,A,B,1.0,D,2.0,A,B,A
D,48.0,D,G,10222.0,E,B,4.0,D,C,3.0,A,37.0,C,B,1.0,B,1.0,B,B,B
A,30.0,E,A,4221.0,C,A,2.0,A,C,1.0,A,28.0,B,B,2.0,B,1.0,A,B,B
A,18.0,B,D,6361.0,C,D,2.0,D,C,1.0,C,41.0,B,B,1.0,B,1.0,B,B,B
C,12.0,D,G,1297.0,C,A,3.0,C,C,4.0,D,23.0,B,C,1.0,B,1.0,A,B,B
B,12.0,D,E,900.0,E,A,4.0,C,C,2.0,A,23.0,B,B,1.0,B,1.0,A,B,A
D,21.0,D,D,2241.0,C,D,4.0,D,C,2.0,D,50.0,B,B,2.0,B,1.0,A,B,B
A,6.0,C,D,1050.0,C,E,4.0,D,C,1.0,B,35.0,C,B,2.0,A,1.0,B,B,B
C,6.0,B,C,1047.0,C,A,2.0,A,C,4.0,B,50.0,B,B,1.0,D,1.0,A,B,B
D,24.0,B,F,6314.0,C,E,4.0,D,A,2.0,C,27.0,A,B,2.0,A,1.0,B,B,B
A,30.0,A,D,3496.0,D,A,4.0,D,C,2.0,A,34.0,C,B,1.0,B,2.0,B,B,B
D,48.0,A,A,3609.0,C,A,1.0,A,C,1.0,D,27.0,C,B,1.0,B,1.0,A,B,B
B,12.0,B,E,4843.0,C,D,3.0,D,A,4.0,B,43.0,B,C,2.0,B,1.0,B,B,A
C,30.0,B,G,3017.0,C,D,4.0,D,C,4.0,B,47.0,B,B,1.0,B,1.0,A,B,B
D,24.0,B,A,4139.0,A,A,3.0,D,C,3.0,B,27.0,B,B,2.0,D,1.0,B,B,B
D,36.0,D,A,5742.0,A,B,2.0,D,C,2.0,A,31.0,B,B,2.0,B,1.0,B,B,B
D,60.0,D,E,10366.0,C,D,2.0,D,C,4.0,B,42.0,B,B,1.0,A,1.0,B,B,B
D,6.0,B,E,2080.0,B,A,1.0,C,C,2.0,A,24.0,B,B,1.0,B,1.0,A,B,B
D,21.0,C,A,2580.0,B,C,4.0,D,C,2.0,D,41.0,A,B,1.0,D,2.0,A,B,A
D,30.0,B,G,4530.0,C,B,4.0,A,C,4.0,A,26.0,B,C,1.0,A,1.0,B,B,B
D,24.0,B,D,5150.0,C,D,4.0,D,C,4.0,A,33.0,B,B,1.0,B,1.0,B,B,B
A,72.0,D,G,5595.0,A,A,2.0,C,C,2.0,A,24.0,B,B,1.0,B,1.0,A,B,A
B,24.0,D,G,2384.0,C,D,4.0,D,C,4.0,D,64.0,A,C,1.0,D,1.0,A,B,B
D,18.0,D,G,1453.0,C,C,3.0,A,C,1.0,D,26.0,B,B,1.0,B,1.0,A,B,B
D,6.0,D,C,1538.0,C,C,1.0,A,C,2.0,C,56.0,B,B,1.0,B,1.0,A,B,B
D,12.0,D,G,2279.0,E,A,4.0,D,C,4.0,C,37.0,B,A,1.0,B,1.0,B,B,B
D,15.0,C,G,1478.0,C,A,4.0,C,C,3.0,D,33.0,A,B,2.0,B,1.0,A,B,B
D,24.0,B,G,5103.0,C,C,3.0,C,C,3.0,C,47.0,B,A,3.0,B,1.0,B,B,B
A,36.0,C,A,9857.0,A,B,1.0,D,C,3.0,B,31.0,B,B,2.0,D,2.0,B,B,B
D,60.0,D,E,6527.0,E,A,4.0,D,C,4.0,C,34.0,B,A,1.0,B,2.0,B,B,B
C,10.0,B,G,1347.0,E,B,4.0,D,C,2.0,B,27.0,B,B,2.0,B,1.0,B,B,B
A,36.0,C,E,2862.0,A,D,4.0,D,C,3.0,C,30.0,B,A,1.0,B,1.0,A,B,B
D,9.0,D,G,2753.0,A,D,3.0,D,A,4.0,A,35.0,B,B,1.0,B,1.0,B,B,B
B,12.0,D,E,3651.0,D,A,1.0,D,C,3.0,B,31.0,B,B,1.0,B,2.0,A,B,B
B,15.0,B,D,975.0,C,A,2.0,B,C,3.0,B,25.0,B,B,2.0,B,1.0,A,B,B
A,15.0,D,H,2631.0,A,A,3.0,A,C,2.0,D,25.0,B,B,1.0,D,1.0,A,B,B
A,24.0,D,G,2896.0,A,C,2.0,D,C,1.0,A,29.0,B,B,1.0,B,1.0,A,B,B
B,6.0,B,E,4716.0,E,C,1.0,D,C,3.0,D,44.0,B,B,2.0,D,2.0,A,B,B
D,24.0,D,G,2284.0,C,B,4.0,D,C,2.0,A,28.0,B,B,1.0,B,1.0,B,B,B
D,6.0,D,J,1236.0,B,A,2.0,D,C,4.0,B,50.0,B,C,1.0,B,1.0,A,B,B
A,12.0,D,G,1103.0,C,B,4.0,D,B,3.0,D,29.0,B,B,2.0,B,1.0,A,A,B
D,12.0,B,E,926.0,C,E,1.0,A,C,2.0,B,38.0,B,B,1.0,C,1.0,A,B,B
D,18.0,B,G,1800.0,C,A,4.0,D,C,2.0,A,24.0,B,B,2.0,B,1.0,A,B,B
C,15.0,D,C,1905.0,C,D,4.0,D,C,4.0,A,40.0,B,C,1.0,A,1.0,B,B,B
D,12.0,D,D,1123.0,B,A,4.0,A,C,4.0,A,29.0,B,C,1.0,D,1.0,A,B,A
B,48.0,B,J,6331.0,C,D,4.0,D,C,4.0,C,46.0,B,A,2.0,B,1.0,B,B,A
