@RELATION soybean

@ATTRIBUTE feature_01 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_02 {A, B, C}
@ATTRIBUTE feature_03 {A, B, C, D}
@ATTRIBUTE feature_04 {A, B, C, D}
@ATTRIBUTE feature_05 {A, B, C}
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D}
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C, D}
@ATTRIBUTE feature_11 {A, B, C}
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B, C, D}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 {A, B, C, D}
@ATTRIBUTE feature_16 {A, B, C}
@ATTRIBUTE feature_17 {A, B, C}
@ATTRIBUTE feature_18 {A, B, C, D}
@ATTRIBUTE feature_19 {A, B, C}
@ATTRIBUTE feature_20 {A, B, C}
@ATTRIBUTE feature_21 {A, B, C, D, E}
@ATTRIBUTE feature_22 {A, B, C, D, E}
@ATTRIBUTE feature_23 {A, B, C}
@ATTRIBUTE feature_24 {A, B, C, D}
@ATTRIBUTE feature_25 {A, B, C}
@ATTRIBUTE feature_26 {A, B, C, D}
@ATTRIBUTE feature_27 {A, B, C}
@ATTRIBUTE feature_28 {A, B, C, D, E}
@ATTRIBUTE feature_29 {A, B, C, D, E}
@ATTRIBUTE feature_30 {A, B, C}
@ATTRIBUTE feature_31 {A, B, C}
@ATTRIBUTE feature_32 {A, B, C}
@ATTRIBUTE feature_33 {A, B, C}
@ATTRIBUTE feature_34 {A, B, C}
@ATTRIBUTE feature_35 {A, B, C, D}
@ATTRIBUTE class {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S}

@DATA
D,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
C,B,D,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,E,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,B,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
E,B,D,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,E,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,B,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,D,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
C,B,D,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,B,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,D,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
C,B,D,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,B,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,D,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,D,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,B,D,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,D,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,B,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
C,B,D,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
C,B,D,D,A,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
F,B,B,B,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,C,C,A,D,B,D,B,A,A,A,A,A,A,A,D,P
E,B,B,B,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
E,B,D,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,D,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,B,D,D,A,C,B,A,A,A,B,A,A,A,A,A,A,A,B,A,B,C,A,B,B,D,B,A,A,A,A,A,A,A,D,P
D,C,C,C,B,E,C,D,C,C,B,A,C,D,C,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
C,C,D,C,B,D,D,C,B,B,B,B,B,B,B,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
D,C,C,C,B,C,D,D,C,B,B,A,C,D,C,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
H,C,C,D,B,C,C,C,C,C,B,A,C,D,B,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
G,C,C,D,B,D,B,C,B,B,B,A,C,D,C,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
C,C,D,C,B,C,D,D,C,D,B,B,B,B,B,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
H,C,C,B,C,D,E,C,C,D,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
H,C,C,D,C,E,C,C,B,C,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
C,C,C,D,C,C,D,C,C,B,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
H,C,C,D,C,D,E,C,C,D,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
H,C,C,D,C,D,D,C,B,B,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
D,B,D,C,C,D,C,D,C,D,B,B,B,B,B,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
H,B,D,D,C,D,E,D,C,C,B,B,B,B,B,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
C,B,C,C,C,D,D,D,C,B,B,A,C,D,C,B,B,B,B,C,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
H,B,D,C,C,C,E,C,B,D,B,B,B,B,B,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
C,B,D,C,C,C,B,C,B,C,B,B,B,B,B,B,B,B,B,C,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
G,B,D,D,C,C,E,C,B,B,B,B,B,B,B,B,B,B,B,B,D,E,B,B,B,C,B,E,E,C,B,B,C,B,C,G
D,C,C,D,C,D,D,C,C,B,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
H,C,C,B,C,C,C,C,C,D,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
D,C,C,D,C,D,D,C,B,B,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
C,C,C,D,C,E,E,C,C,C,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
H,C,C,B,C,D,C,C,B,C,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
C,C,C,D,C,E,C,C,C,C,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
H,C,C,B,C,C,D,C,B,B,C,A,B,B,B,B,B,B,B,C,D,D,B,B,B,C,B,E,B,C,B,B,C,B,C,G
F,C,C,C,B,B,C,B,C,C,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
E,C,D,D,B,E,B,C,B,B,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
D,C,B,C,B,D,D,B,C,D,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
C,C,C,D,B,C,E,C,C,C,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
H,C,D,C,B,B,C,B,C,B,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
C,C,D,C,B,D,D,B,B,C,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
D,B,C,D,C,C,E,C,B,D,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
C,B,D,C,C,B,C,B,D,C,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
E,B,D,C,C,B,C,B,C,B,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
H,B,C,D,C,C,E,C,C,B,C,A,B,B,B,B,B,D,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,Q
D,C,B,C,B,D,D,C,C,B,C,A,D,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
C,C,B,D,B,C,E,C,B,D,C,A,C,D,C,B,C,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
H,C,B,D,B,E,C,C,C,B,C,A,D,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
E,C,B,C,B,B,E,C,B,D,C,A,C,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
D,C,B,D,B,E,C,C,C,B,C,A,C,D,C,B,C,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
G,B,B,C,C,E,E,B,B,D,C,A,C,D,C,B,C,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
D,B,B,B,C,C,B,C,B,D,C,A,D,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
H,B,B,D,C,D,E,B,B,D,C,A,D,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
D,B,B,D,C,E,B,B,B,D,C,A,C,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
H,B,B,C,C,C,E,B,B,D,C,A,C,D,C,B,B,C,C,C,D,D,B,B,B,D,B,E,B,B,C,B,C,B,C,L
F,B,B,D,C,C,D,C,C,D,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,E,B,C,C,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,C,D,E,C,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,B,B,D,C,C,E,C,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,D,C,C,B,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
H,C,B,D,C,D,E,D,B,B,C,A,C,D,C,B,B,B,B,C,D,E,C,C,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,C,E,C,B,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,D,E,C,D,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,B,D,D,B,D,D,C,B,D,B,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,B,B,B,B,E,B,B,D,B,C,A,C,D,C,B,B,B,B,C,B,B,B,B,B,D,B,B,C,C,B,B,C,B,C,F
B,C,D,D,C,B,C,B,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,B,C,E,B,B,B,B,B,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,D,D,C,D,D,C,D,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,B,C,C,E,B,C,B,B,A,C,D,C,B,B,B,B,C,B,B,B,B,B,D,B,E,D,C,B,B,C,B,C,F
C,C,D,D,C,E,C,C,B,D,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,B,C,C,B,B,C,B,C,F
B,C,B,B,C,D,B,C,D,B,B,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,D,D,C,C,D,B,C,D,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,B,C,E,E,B,B,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
B,C,D,D,C,D,C,B,D,D,B,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,B,B,C,B,B,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,E,B,C,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,D,C,C,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,B,B,D,C,C,E,C,C,D,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
C,C,B,D,C,D,B,C,C,C,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
H,C,B,D,C,C,D,C,C,B,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,D,C,D,E,C,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,C,E,C,C,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,C,D,E,C,C,B,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,D,C,C,E,C,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,E,B,C,C,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,C,D,D,C,C,B,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,D,C,C,E,C,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,E,C,C,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,C,C,E,C,C,B,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,B,B,D,C,D,B,C,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,C,D,C,C,C,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,C,D,E,C,C,B,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
C,B,B,D,C,C,B,C,C,D,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
H,C,B,D,C,E,D,C,C,C,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,D,E,C,C,B,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,B,B,D,C,C,E,C,C,D,C,A,C,D,C,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,C,D,B,C,C,C,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
C,C,B,D,C,C,E,C,C,B,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
H,B,B,D,C,C,E,C,C,D,C,A,C,D,C,B,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,E,B,C,C,C,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,D,C,C,B,C,A,C,D,C,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,F
D,B,B,D,C,C,E,C,C,D,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,E,B,C,C,C,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,D,C,C,B,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
D,B,B,D,C,C,E,C,C,D,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
F,C,B,D,C,E,E,C,C,C,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
E,C,B,D,C,D,D,C,C,B,C,A,C,D,C,C,B,B,B,C,B,B,C,B,B,D,B,E,B,C,B,B,C,B,C,F
D,C,B,D,B,E,B,C,B,B,C,A,C,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
C,B,D,D,C,D,D,B,C,D,C,A,D,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
E,B,D,D,C,E,C,B,C,D,C,A,D,D,D,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
C,C,D,B,C,C,D,B,C,B,C,A,D,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
H,B,B,D,B,E,E,C,B,D,B,A,C,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
D,C,D,D,C,D,C,B,C,C,B,A,D,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
C,C,B,D,B,C,B,C,B,B,C,A,C,D,D,B,C,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
D,C,B,D,B,E,D,C,B,B,B,A,C,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
C,B,D,D,C,D,E,B,C,D,C,A,D,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
H,C,B,D,B,C,C,C,B,B,B,A,C,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,C,D
D,C,D,C,B,C,E,B,C,B,C,A,D,C,D,B,B,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,C,B,C,E
F,B,D,D,C,E,C,B,B,D,C,A,D,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,B,B,D,E
E,C,D,B,B,D,B,B,C,B,C,A,C,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,C,B,C,E
D,B,D,D,C,C,D,B,C,D,C,A,C,D,D,B,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,D,E
E,C,B,D,B,C,B,C,B,B,C,A,D,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,C,B,C,E
E,C,B,D,B,E,E,C,C,B,C,A,D,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,C,B,C,E
F,C,D,D,B,C,B,B,B,B,C,A,D,D,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,B,B,C,E
E,B,B,B,C,E,D,C,B,D,C,A,D,C,D,C,B,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,D,E
H,C,D,B,B,B,B,B,C,B,B,A,D,C,D,B,C,B,C,C,D,D,B,B,B,D,B,E,B,B,C,C,C,B,C,E
E,B,B,C,C,E,D,C,C,D,C,A,D,C,D,C,C,B,C,C,D,D,B,B,B,D,B,E,B,C,B,B,C,B,D,E
H,C,B,B,B,D,D,B,C,B,C,A,C,D,D,B,B,B,C,B,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
G,C,B,C,B,C,E,B,B,D,C,A,C,D,D,B,B,B,B,C,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
H,C,B,B,B,E,B,B,B,D,C,A,C,D,D,B,B,B,C,C,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
C,C,B,B,B,B,C,B,C,D,C,A,C,D,D,B,B,B,C,B,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
H,C,B,C,C,E,B,B,C,B,C,A,C,D,D,B,B,B,B,C,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
G,C,B,D,C,D,D,B,C,D,C,B,B,B,B,B,B,B,B,C,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
D,C,B,B,C,C,E,B,C,B,C,B,B,B,B,B,B,B,C,C,D,E,B,B,B,D,B,E,B,B,B,C,C,B,C,R
D,C,B,C,C,C,E,B,C,D,C,B,B,B,B,B,B,B,C,C,D,E,B,B,B,D,B,E,B,B,B,C,C,B,C,R
H,C,B,B,C,E,B,B,B,D,C,B,B,B,B,B,B,B,C,C,D,E,B,B,B,D,B,E,B,B,B,C,C,B,C,R
G,C,B,D,C,C,E,B,B,D,C,A,C,D,D,B,B,B,B,C,D,E,B,B,B,D,B,B,D,B,B,C,C,B,C,R
B,C,B,D,C,B,C,B,C,C,C,A,B,B,B,B,B,B,B,C,C,B,B,C,B,D,B,E,B,B,B,C,B,C,C,C
E,C,B,D,C,D,D,B,D,D,B,A,B,B,B,B,B,B,B,C,B,B,B,C,B,D,B,E,B,B,B,C,B,C,C,C
C,C,B,D,C,B,C,B,B,B,C,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,B,C,B,C,B,B,C,C,C
F,C,B,D,C,B,C,B,D,B,B,A,B,B,B,B,B,B,B,C,C,B,B,C,B,D,B,E,B,B,B,C,C,C,C,C
C,B,B,B,B,E,B,C,C,C,C,A,B,B,B,B,B,B,B,B,B,C,C,C,B,D,B,B,C,B,C,B,B,B,C,C
G,C,B,D,C,C,E,C,C,B,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
G,B,B,D,C,E,B,C,B,C,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
G,B,B,D,C,C,E,C,C,C,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
H,B,B,D,C,D,D,C,C,D,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
H,C,B,D,C,C,E,C,B,C,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
C,C,B,D,C,D,D,C,B,D,C,B,B,B,B,B,B,B,B,C,B,C,B,B,B,D,B,B,C,C,B,B,C,B,C,C
D,B,B,B,B,E,B,B,B,D,B,A,B,B,B,B,B,B,B,B,B,C,C,C,B,D,B,B,C,C,B,B,C,B,C,C
C,B,B,B,B,E,B,B,B,C,B,A,B,B,B,B,B,B,B,B,B,C,C,C,B,D,B,B,C,C,B,B,C,B,C,C
H,B,B,B,B,D,D,C,C,B,C,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,B,C,C,B,B,C,B,C,C
G,B,B,B,B,C,E,B,B,D,C,A,B,B,B,B,B,B,B,C,B,C,C,C,B,D,B,B,C,C,B,B,C,B,C,C
C,C,B,D,C,E,B,D,C,C,C,B,B,B,B,B,B,B,B,C,B,C,B,B,B,D,B,B,C,C,B,B,C,B,C,C
H,B,B,D,C,D,D,C,B,B,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
G,C,B,D,C,C,E,C,C,C,C,B,B,B,B,B,B,B,B,C,B,C,C,B,B,D,B,B,C,B,C,B,B,C,C,C
C,B,B,D,C,E,B,D,B,B,C,B,B,B,B,B,B,B,B,C,B,C,B,B,B,D,B,B,C,C,B,B,C,B,C,C
