@RELATION credit-rating

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 REAL
@ATTRIBUTE feature_04 {A, B, C, D}
@ATTRIBUTE feature_05 {A, B, C, D}
@ATTRIBUTE feature_06 {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O}
@ATTRIBUTE feature_07 {A, B, C, D, E, F, G, H, I, J}
@ATTRIBUTE feature_08 REAL
@ATTRIBUTE feature_09 {A, B}
@ATTRIBUTE feature_10 {A, B}
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B, C}
@ATTRIBUTE feature_14 REAL
@ATTRIBUTE feature_15 REAL
@ATTRIBUTE class {A, B}

@DATA
C,32.33,3.5,C,B,J,I,0.5,A,A,0.0,B,A,232.0,0.0,B
C,?,0.04,D,D,E,I,4.25,A,A,0.0,B,A,460.0,0.0,B
C,47.83,4.165,C,B,O,B,0.085,A,A,0.0,B,A,520.0,0.0,B
C,20.0,1.25,D,D,J,I,0.125,A,A,0.0,A,A,140.0,4.0,B
C,27.58,3.25,D,D,L,E,5.085,A,B,2.0,B,A,369.0,1.0,B
C,22.0,0.79,C,B,N,I,0.29,A,B,1.0,A,A,420.0,283.0,B
C,19.33,10.915,C,B,C,B,0.585,A,B,2.0,B,A,200.0,7.0,B
B,38.33,4.415,C,B,C,I,0.125,A,A,0.0,A,A,160.0,0.0,B
C,29.42,1.25,C,B,C,E,0.25,A,B,2.0,B,A,400.0,108.0,B
C,22.67,0.75,C,B,H,I,1.585,A,B,1.0,B,A,400.0,9.0,B
C,32.25,14.0,D,D,G,D,0.0,A,B,2.0,A,A,160.0,1.0,B
C,29.58,4.75,C,B,K,I,2.0,A,B,1.0,B,A,460.0,68.0,B
C,18.42,10.415,D,D,B,I,0.125,B,A,0.0,A,A,120.0,375.0,B
C,22.17,2.25,C,B,H,I,0.125,A,A,0.0,A,A,160.0,10.0,B
C,22.67,0.165,C,B,C,F,2.25,A,A,0.0,B,C,0.0,0.0,A
B,25.58,0.0,A,A,A,A,0.0,A,A,0.0,A,B,?,0.0,A
C,18.83,0.0,C,B,L,I,0.665,A,A,0.0,A,A,160.0,1.0,B
C,21.58,0.79,D,D,D,I,0.665,A,A,0.0,A,A,160.0,0.0,B
C,23.75,12.0,C,B,C,I,2.085,A,A,0.0,A,C,80.0,0.0,B
C,22.0,7.835,D,D,H,B,0.165,A,A,0.0,B,A,?,0.0,B
C,36.08,2.54,C,B,G,D,0.0,A,A,0.0,A,A,0.0,1000.0,B
C,29.25,13.0,C,B,E,E,0.5,A,A,0.0,A,A,228.0,0.0,B
B,19.58,0.665,C,B,N,I,1.665,A,A,0.0,A,A,220.0,5.0,B
B,22.92,1.25,C,B,L,I,0.25,A,A,0.0,B,A,120.0,809.0,B
B,27.25,0.29,C,B,K,E,0.125,A,B,1.0,B,A,272.0,108.0,B
B,38.75,1.5,C,B,G,D,0.0,A,A,0.0,A,A,76.0,0.0,B
C,32.42,2.165,D,D,J,D,0.0,A,A,0.0,A,A,120.0,0.0,B
B,23.75,0.71,C,B,N,I,0.25,A,B,1.0,B,A,240.0,4.0,B
C,18.17,2.46,C,B,C,G,0.96,A,B,2.0,B,A,160.0,587.0,B
C,40.92,0.5,D,D,K,I,0.5,A,A,0.0,B,A,130.0,0.0,B
C,19.5,9.585,C,B,B,I,0.79,A,A,0.0,A,A,80.0,350.0,B
C,28.58,3.625,C,B,B,I,0.25,A,A,0.0,B,A,100.0,0.0,B
C,35.58,0.75,C,B,J,I,1.5,A,A,0.0,B,A,231.0,0.0,B
C,34.17,2.75,C,B,H,B,2.5,A,A,0.0,B,A,232.0,200.0,B
A,33.17,2.25,D,D,D,I,3.5,A,A,0.0,B,A,200.0,141.0,B
C,31.58,0.75,D,D,B,I,3.5,A,A,0.0,B,A,320.0,0.0,B
B,52.5,7.0,C,B,B,E,3.0,A,A,0.0,A,A,0.0,0.0,B
C,36.17,0.42,D,D,N,I,0.29,A,A,0.0,B,A,309.0,2.0,B
C,37.33,2.665,C,B,D,I,0.165,A,A,0.0,B,A,0.0,501.0,B
B,20.83,8.5,C,B,C,I,0.165,A,A,0.0,A,A,0.0,351.0,B
C,24.08,9.0,C,B,B,I,0.25,A,A,0.0,B,A,0.0,0.0,B
C,25.58,0.335,C,B,J,E,3.5,A,A,0.0,B,A,340.0,0.0,B
B,35.17,3.75,C,B,G,D,0.0,A,B,6.0,A,A,0.0,200.0,B
C,48.08,3.75,C,B,H,B,1.0,A,A,0.0,A,A,100.0,2.0,B
B,15.83,7.625,C,B,L,I,0.125,A,B,1.0,B,A,0.0,160.0,B
B,22.5,0.415,C,B,H,I,0.335,A,A,0.0,B,C,144.0,0.0,B
C,21.5,11.5,C,B,H,I,0.5,B,A,0.0,B,A,100.0,68.0,B
B,23.58,0.83,C,B,L,I,0.415,A,B,1.0,B,A,200.0,11.0,B
B,21.08,5.0,D,D,G,D,0.0,A,A,0.0,A,A,0.0,0.0,B
C,25.67,3.25,C,B,C,E,2.29,A,B,1.0,B,A,416.0,21.0,B
B,38.92,1.665,C,B,B,I,0.25,A,A,0.0,A,A,0.0,390.0,B
B,15.75,0.375,C,B,C,I,1.0,A,A,0.0,A,A,120.0,18.0,B
B,28.58,3.75,C,B,C,I,0.25,A,B,1.0,B,A,40.0,154.0,B
C,22.25,9.0,C,B,B,I,0.085,A,A,0.0,A,A,0.0,0.0,B
C,29.83,3.5,C,B,C,I,0.165,A,A,0.0,A,A,216.0,0.0,B
B,23.5,1.5,C,B,N,I,0.875,A,A,0.0,B,A,160.0,0.0,B
C,32.08,4.0,D,D,D,I,1.5,A,A,0.0,B,A,120.0,0.0,B
C,31.08,1.5,D,D,N,I,0.04,A,A,0.0,A,C,160.0,0.0,B
C,31.83,0.04,D,D,K,I,0.04,A,A,0.0,A,A,0.0,0.0,B
B,21.75,11.75,C,B,C,I,0.25,A,A,0.0,B,A,180.0,0.0,B
B,17.92,0.54,C,B,C,I,1.75,A,B,1.0,B,A,80.0,5.0,B
C,30.33,0.5,C,B,E,E,0.085,A,A,0.0,B,C,252.0,0.0,B
C,51.83,2.04,D,D,G,D,1.5,A,A,0.0,A,A,120.0,1.0,B
C,47.17,5.835,C,B,N,I,5.5,A,A,0.0,A,A,465.0,150.0,B
C,25.83,12.835,C,B,D,I,0.5,A,A,0.0,A,A,0.0,2.0,B
B,50.25,0.835,C,B,B,I,0.5,A,A,0.0,B,A,240.0,117.0,B
A,29.5,2.0,D,D,F,E,2.0,A,A,0.0,A,A,256.0,17.0,B
B,37.33,2.5,C,B,H,E,0.21,A,A,0.0,A,A,260.0,246.0,B
B,41.58,1.04,C,B,B,I,0.665,A,A,0.0,A,A,240.0,237.0,B
B,30.58,10.665,C,B,L,E,0.085,A,B,12.0,B,A,129.0,3.0,B
C,19.42,7.25,C,B,K,I,0.04,A,B,1.0,A,A,100.0,1.0,B
B,17.92,10.21,C,B,G,D,0.0,A,A,0.0,A,A,0.0,50.0,B
B,20.08,1.25,C,B,C,I,0.0,A,A,0.0,A,A,0.0,0.0,B
C,19.5,0.29,C,B,J,I,0.29,A,A,0.0,A,A,280.0,364.0,B
C,27.83,1.0,D,D,E,E,3.0,A,A,0.0,A,A,176.0,537.0,B
C,17.08,3.29,C,B,H,I,0.335,A,A,0.0,B,A,140.0,2.0,B
C,36.42,0.75,D,D,E,I,0.585,A,A,0.0,A,A,240.0,3.0,B
C,40.58,3.29,C,B,K,I,3.5,A,A,0.0,B,C,400.0,0.0,B
C,21.08,10.085,D,D,F,E,1.25,A,A,0.0,A,A,260.0,0.0,B
B,22.67,0.75,C,B,C,I,2.0,A,B,2.0,B,A,200.0,394.0,B
B,25.25,13.5,D,D,G,D,2.0,A,B,1.0,B,A,200.0,1.0,B
C,17.92,0.205,C,B,B,I,0.04,A,A,0.0,A,A,280.0,750.0,B
C,35.0,3.375,C,B,C,E,8.29,A,A,0.0,B,A,0.0,0.0,B
% 
% 
% 
